CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore
1,56,Male,UK,83094,5,8,5,Low,Bronze,100
2,69,Male,UK,86860,10,2,8,Medium,Gold,100
3,46,Female,USA,60173,8,10,18,Medium,Silver,100
4,32,Female,UK,73884,7,10,16,Low,Gold,100
5,60,Male,UK,97546,6,4,13,Low,Bronze,82
6,25,Male,France,49364,5,7,19,High,Silver,80.71
7,38,Female,Germany,39716,10,6,11,High,Silver,100
8,56,Female,Germany,45305,10,10,10,Medium,Gold,100
9,36,Male,France,98001,10,2,12,High,Bronze,100
10,40,Female,UK,85307,6,4,20,High,Gold,86.48
11,28,Female,Canada,46732,9,3,3,High,Gold,94.6
12,28,Female,France,38742,8,6,13,Medium,Silver,81.85
13,41,Male,Germany,30028,8,6,20,Medium,Bronze,95.99
14,53,Female,USA,58353,6,8,17,Medium,Bronze,100
15,57,Female,Germany,75657,1,8,15,Medium,Silver,100
16,41,Female,Canada,59164,1,5,10,Medium,Silver,52.34
17,20,Female,Germany,73887,5,4,7,Medium,Silver,73.48
18,39,Female,France,63522,8,3,8,High,Gold,86.31
19,19,Male,USA,88593,5,9,8,High,Bronze,100
20,41,Female,Germany,37901,7,5,17,Low,Gold,85.16
21,61,Female,France,41595,2,4,11,High,Gold,69.85
22,47,Female,France,95043,7,2,5,High,Bronze,92.23
23,55,Female,France,42216,5,6,2,Medium,Gold,90.59
24,19,Male,USA,59536,10,5,7,High,Silver,99.65
25,38,Male,France,48184,3,2,2,Low,Gold,49.73
26,50,Male,USA,116529,1,5,18,Medium,Silver,70.82
27,29,Female,Canada,92619,9,8,15,Low,Gold,100
28,39,Female,Canada,102225,10,4,14,Low,Gold,100
29,61,Male,Canada,108541,7,1,1,Medium,Silver,75.74
30,42,Male,France,48768,8,8,16,High,Gold,100
31,66,Male,USA,95975,10,7,7,Medium,Bronze,100
32,44,Male,Canada,41604,10,9,11,Medium,Bronze,100
33,59,Male,UK,100739,4,8,18,Medium,Bronze,100
34,45,Male,Canada,119278,3,7,10,High,Gold,100
35,33,Female,France,112220,5,7,17,Low,Silver,100
36,32,Female,UK,113282,1,10,4,High,Bronze,100
37,64,Male,Germany,65286,6,1,7,Low,Silver,88.16
38,68,Female,UK,40530,1,6,17,High,Bronze,63.97
39,61,Female,Germany,34580,8,9,9,High,Bronze,100
40,69,Male,UK,75929,5,7,3,Low,Bronze,91.94
41,20,Male,USA,112595,10,5,13,Medium,Gold,100
